1 2 3
1 2 4
1 3 5
1 4 7
1 5 8
1 7 12
1 8 14
1 12 14
2 3 6
2 4 10
2 6 11
2 10 20
2 11 19
2 19 20
3 5 9
3 6 13
3 9 17
3 13 21
3 17 21
4 7 16
4 10 18
4 16 26
4 18 25
4 25 26
5 8 15
5 9 18
5 15 24
5 18 27
5 24 27
6 11 15
6 13 16
6 15 33
6 16 30
6 30 33
7 12 23
7 13 16
7 13 32
7 23 31
7 31 32
8 11 15
8 11 34
8 14 22
8 22 31
8 31 34
9 10 18
9 10 37
9 17 22
9 22 39
9 37 39
10 20 23
10 23 38
10 37 38
11 19 28
11 28 38
11 34 38
12 14 29
12 20 23
12 20 40
12 24 29
12 24 40
13 21 28
13 28 39
13 32 39
14 17 22
14 17 41
14 26 29
14 26 41
15 24 29
15 29 36
15 33 36
16 26 29
16 29 35
16 30 35
17 21 35
17 30 35
17 30 41
18 25 36
18 27 35
18 35 36
19 20 36
19 21 28
19 21 42
19 25 36
19 25 42
20 33 36
20 33 40
21 27 35
21 27 42
22 23 28
22 23 31
22 28 39
23 28 38
24 27 38
24 37 38
24 37 40
25 26 39
25 32 39
25 32 42
26 37 39
26 37 41
27 34 38
27 34 42
29 35 36
30 31 33
30 31 34
30 34 41
31 32 33
32 33 40
32 40 42
34 41 42
37 40 41
40 41 42
