1 4 7
1 4 82
1 7 58
1 49 55
1 49 137
1 55 82
1 58 89
1 89 111
1 111 137
2 12 19
2 12 163
2 19 91
2 62 68
2 62 103
2 68 132
2 91 132
2 96 103
2 96 163
3 13 18
3 13 139
3 18 115
3 46 139
3 46 152
3 99 142
3 99 152
3 115 147
3 142 147
4 7 31
4 31 76
4 67 76
4 67 153
4 82 133
4 114 133
4 114 153
5 10 17
5 10 136
5 17 97
5 26 74
5 26 155
5 74 139
5 97 131
5 131 139
5 136 155
6 14 20
6 14 166
6 20 109
6 71 93
6 71 166
6 93 144
6 109 161
6 144 163
6 161 163
7 25 34
7 25 92
7 31 158
7 34 58
7 92 117
7 117 158
8 11 15
8 11 112
8 15 103
8 29 103
8 29 138
8 97 101
8 97 165
8 101 112
8 138 165
9 16 21
9 16 151
9 21 142
9 38 50
9 38 166
9 50 95
9 95 151
9 142 156
9 156 166
10 17 61
10 33 120
10 33 167
10 47 58
10 47 136
10 58 167
10 61 120
11 15 67
11 51 115
11 51 140
11 67 122
11 112 160
11 115 122
11 140 160
12 19 37
12 37 157
12 52 75
12 52 163
12 75 110
12 110 151
12 151 157
13 18 25
13 25 77
13 37 42
13 37 60
13 42 139
13 60 164
13 77 164
14 20 49
14 36 49
14 36 98
14 54 61
14 54 166
14 61 83
14 83 98
15 32 73
15 32 143
15 56 67
15 56 143
15 73 81
15 81 103
16 21 73
16 59 105
16 59 123
16 72 82
16 72 151
16 73 123
16 82 105
17 39 80
17 39 113
17 61 88
17 80 97
17 88 91
17 91 113
18 25 124
18 69 109
18 69 168
18 100 115
18 100 168
18 109 124
19 28 31
19 28 91
19 31 141
19 37 126
19 84 126
19 84 141
20 27 104
20 27 112
20 49 119
20 104 145
20 109 145
20 112 119
21 41 63
21 41 142
21 63 116
21 73 134
21 116 136
21 134 136
22 28 31
22 28 100
22 31 76
22 45 119
22 45 150
22 70 74
22 70 100
22 74 119
22 76 150
23 25 34
23 25 124
23 34 52
23 52 121
23 64 124
23 64 129
23 113 121
23 113 156
23 129 156
24 37 42
24 37 157
24 42 133
24 81 86
24 81 167
24 86 107
24 107 157
24 133 162
24 162 167
25 77 134
25 92 134
26 30 38
26 30 143
26 38 74
26 79 84
26 79 102
26 84 143
26 102 155
27 33 40
27 33 167
27 40 85
27 72 85
27 72 112
27 99 104
27 99 167
28 51 115
28 51 128
28 85 91
28 85 128
28 100 115
29 36 41
29 36 154
29 41 118
29 103 124
29 108 124
29 108 154
29 118 138
30 38 43
30 43 145
30 94 143
30 94 159
30 114 133
30 114 159
30 133 145
31 54 141
31 54 158
32 35 39
32 35 127
32 39 113
32 73 161
32 113 137
32 127 161
32 137 143
33 40 50
33 50 164
33 120 135
33 135 154
33 154 164
34 43 58
34 43 87
34 52 163
34 87 144
34 144 163
35 39 104
35 57 78
35 57 104
35 78 168
35 95 100
35 95 127
35 100 168
36 41 79
36 49 157
36 79 149
36 98 154
36 149 157
37 60 101
37 101 126
38 43 122
38 50 62
38 62 74
38 122 166
39 53 80
39 53 118
39 104 117
39 117 118
40 50 146
40 52 56
40 52 75
40 56 85
40 75 125
40 125 146
41 63 79
41 65 76
41 65 118
41 76 142
42 44 105
42 44 127
42 82 105
42 82 133
42 127 139
43 47 58
43 47 145
43 65 87
43 65 122
44 54 61
44 54 158
44 61 88
44 88 108
44 102 105
44 102 158
44 108 127
45 49 55
45 49 119
45 55 80
45 80 125
45 96 116
45 96 150
45 116 125
46 52 56
46 52 121
46 56 94
46 94 106
46 106 119
46 119 139
46 121 152
47 69 109
47 69 149
47 109 145
47 128 136
47 128 149
48 50 62
48 50 164
48 62 64
48 64 160
48 90 117
48 90 130
48 117 158
48 130 164
48 158 160
49 137 157
50 95 146
51 53 59
51 53 128
51 59 105
51 105 144
51 140 144
53 59 68
53 68 162
53 77 80
53 77 128
53 118 162
54 66 141
54 66 148
