1 2 3
1 2 4
1 3 5
1 4 7
1 5 8
1 7 12
1 8 14
1 12 20
1 14 24
1 20 30
1 24 32
1 25 33
1 25 34
1 27 35
1 27 36
1 30 39
1 32 41
1 33 42
1 34 43
1 35 44
1 36 45
1 39 42
1 41 45
1 43 44
2 3 6
2 4 10
2 6 11
2 10 22
2 11 19
2 15 28
2 15 35
2 19 24
2 21 26
2 21 40
2 22 29
2 24 38
2 26 43
2 28 46
2 29 30
2 30 47
2 35 48
2 38 41
2 40 42
2 41 46
2 42 47
2 43 48
3 5 9
3 6 13
3 9 17
3 13 23
3 16 31
3 16 34
3 17 29
3 18 26
3 18 37
3 20 23
3 20 38
3 26 44
3 29 32
3 31 46
3 32 47
3 34 48
3 37 45
3 38 39
3 39 46
3 44 48
3 45 47
4 7 16
4 9 27
4 9 31
4 10 18
4 13 15
4 13 37
4 14 23
4 14 47
4 15 44
4 16 17
4 17 19
4 18 23
4 19 39
4 27 48
4 31 40
4 32 40
4 32 47
4 33 37
4 33 38
4 38 39
4 44 48
5 8 15
5 9 21
5 10 25
5 10 28
5 11 16
5 11 40
5 12 19
5 12 47
5 15 22
5 16 43
5 19 21
5 22 23
5 23 41
5 25 48
5 28 37
5 30 37
5 30 47
5 36 38
5 36 40
5 38 41
5 43 48
6 7 21
6 7 36
6 8 18
6 8 33
6 11 27
6 12 17
6 12 27
6 13 25
6 14 22
6 14 25
6 17 41
6 18 43
6 21 44
6 22 39
6 28 32
6 28 33
6 30 31
6 30 39
6 31 36
6 32 41
6 43 44
7 8 29
7 8 38
7 9 22
7 9 35
7 11 23
7 11 26
7 12 26
7 16 28
7 21 37
7 22 46
7 23 42
7 24 37
7 24 38
7 25 46
7 25 47
7 28 29
7 35 48
7 36 48
7 42 47
8 10 17
8 10 34
8 13 19
8 13 26
8 14 26
8 15 31
8 17 46
8 18 40
8 19 45
8 20 38
8 20 40
8 27 46
8 27 47
8 29 31
8 33 48
8 34 48
8 45 47
9 11 14
9 11 34
9 13 24
9 13 30
9 14 42
9 17 35
9 18 41
9 18 42
9 20 28
9 20 30
9 21 33
9 22 45
9 24 33
9 27 28
9 31 43
9 34 43
9 41 45
10 11 20
10 11 32
10 12 13
10 12 45
10 13 35
10 17 42
10 18 36
10 20 36
10 21 39
10 21 45
10 22 34
10 24 31
10 24 32
10 25 31
10 28 44
10 35 44
10 39 42
11 14 46
11 15 39
11 15 45
11 16 33
11 19 34
11 20 37
11 23 45
11 26 44
11 27 37
11 29 32
11 29 33
11 39 46
11 40 44
12 13 46
12 14 46
12 14 47
12 15 18
12 15 20
12 17 40
12 18 29
12 19 31
12 26 31
12 27 48
12 29 33
12 33 38
12 34 38
12 34 40
12 45 48
13 15 36
13 16 41
13 16 42
13 19 42
13 23 35
13 24 40
13 25 40
13 26 43
13 29 30
13 29 36
13 37 43
13 41 46
14 16 21
14 16 24
14 21 29
14 22 37
14 23 28
14 25 48
14 26 28
14 29 36
14 35 37
14 35 38
14 36 38
14 42 48
15 17 24
15 17 25
15 18 35
15 20 21
15 21 32
15 22 44
15 24 39
15 25 34
15 28 34
15 31 42
15 32 42
15 36 45
16 17 43
16 18 24
16 18 30
16 20 22
16 20 41
16 21 34
16 22 27
16 27 35
16 28 45
16 30 45
16 31 35
16 33 42
17 19 36
17 23 41
17 23 42
17 24 37
17 25 29
17 26 30
17 26 36
17 30 37
17 35 40
17 43 46
18 19 24
18 19 25
18 23 43
18 25 26
18 29 41
18 30 46
18 35 37
18 36 46
18 40 42
19 20 25
19 20 28
19 21 44
19 22 39
19 22 45
19 28 32
19 31 35
19 32 35
19 34 36
19 42 44
20 21 23
20 22 40
20 25 47
20 36 48
20 37 43
20 41 48
20 43 47
21 23 27
21 26 27
21 29 39
21 32 46
21 33 46
21 34 40
21 37 45
22 23 33
22 26 32
22 26 33
22 27 29
22 32 40
22 34 37
22 44 46
23 24 27
23 24 31
23 28 34
23 30 31
23 30 34
23 33 35
23 43 45
24 27 47
24 33 48
24 39 48
24 40 44
24 44 47
25 26 33
25 27 29
25 27 38
25 31 46
25 38 45
25 40 45
26 27 36
26 28 39
26 30 32
26 31 41
26 39 41
27 28 46
27 37 42
27 38 42
28 29 44
28 33 37
28 39 40
28 40 45
29 31 43
29 39 43
29 41 44
30 32 48
30 34 38
30 38 44
30 44 46
30 45 48
31 36 40
31 37 41
31 37 42
32 35 38
32 38 43
32 42 48
32 43 46
33 35 47
33 36 46
33 36 47
34 36 47
34 37 41
34 41 47
35 39 40
35 39 47
38 42 44
38 43 45
39 41 48
39 43 47
41 44 47
