1 2 3
1 2 4
1 3 5
1 4 7
1 5 8
1 7 10
1 8 11
1 10 13
1 11 14
1 13 16
1 14 17
1 16 19
1 17 20
1 19 20
2 3 6
2 4 9
2 6 8
2 8 12
2 9 10
2 10 15
2 12 14
2 14 18
2 15 16
2 16 21
2 18 20
2 20 21
3 5 9
3 6 7
3 7 12
3 9 11
3 11 15
3 12 13
3 13 18
3 15 17
3 17 21
3 18 19
3 19 21
4 5 9
4 5 15
4 6 7
4 6 13
4 11 15
4 11 21
4 12 13
4 12 19
4 17 18
4 17 21
4 18 19
5 6 8
5 6 14
5 10 15
5 10 21
5 12 14
5 12 20
5 16 18
5 16 21
5 18 20
6 10 13
6 10 19
6 11 14
6 11 20
6 16 17
6 16 19
6 17 20
7 8 12
7 8 18
7 9 10
7 9 16
7 14 18
7 14 21
7 15 16
7 15 20
7 20 21
8 9 11
8 9 17
8 13 18
8 13 21
8 15 17
8 15 19
8 19 21
9 13 16
9 13 20
9 14 17
9 14 19
9 19 20
10 11 18
10 11 21
10 12 17
10 12 19
10 17 18
11 12 16
11 12 20
11 16 18
12 16 17
13 14 15
13 14 21
13 15 20
14 15 19
